,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__alpha,param_NN__hidden_layer_sizes,param_km__n_clusters,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.19433436393737794,0.0008022785186767578,0.221480244852532,0.2331537359717804,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 2}",99,0.23351648351648352,0.23447313328681088,0.1850828729281768,0.22926829268292684,0.20612813370473537,0.19401947148817802,0.29971988795518206,0.27361111111111114,0.18309859154929578,0.23439667128987518,0.0735437912579638,0.00024557368267924426,0.04301670088792502,0.025245483662896435
1,0.3155550956726074,0.0007017612457275391,0.5203116304952699,0.5491416467158972,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 5}",37,0.4807692307692308,0.5080251221214236,0.6187845303867403,0.645993031358885,0.5013927576601671,0.5771905424200278,0.4369747899159664,0.45416666666666666,0.5633802816901409,0.5603328710124826,0.11628630583471797,0.000245495784643015,0.06393598818641882,0.06481202078136639
2,0.31400251388549805,0.0008022785186767578,0.5125208681135225,0.5482254322568136,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 10}",39,0.6318681318681318,0.630844382414515,0.5248618784530387,0.6090592334494773,0.5292479108635098,0.5834492350486787,0.21008403361344538,0.2152777777777778,0.6647887323943662,0.70249653259362,0.06250695605611867,0.0002454763988969928,0.1603856893751367,0.1711263110091782
3,0.25547013282775877,0.0007074356079101562,0.16750139120756816,0.18224604710565942,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 15}",125,0.09615384615384616,0.09002093510118632,0.27624309392265195,0.3386759581881533,0.10584958217270195,0.1043115438108484,0.19327731092436976,0.19791666666666666,0.16619718309859155,0.18030513176144244,0.07153783360197392,0.0002523921375114911,0.06561140739092526,0.08865541228726277
4,0.3621462345123291,0.0008020401000976562,0.2548692264885921,0.265227803956732,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 20}",81,0.10164835164835165,0.10258199581297976,0.6685082872928176,0.7331010452961673,0.2646239554317549,0.25382475660639775,0.11764705882352941,0.1111111111111111,0.11830985915492957,0.12552011095700416,0.07842512082174943,0.0002456710204899875,0.21602385934146004,0.24031614712875843
5,0.39405040740966796,0.0009019851684570312,0.3739565943238731,0.37233507704616636,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 25}",54,0.7032967032967034,0.6643405443126309,0.14917127071823205,0.1616724738675958,0.6908077994428969,0.7739916550764951,0.19047619047619047,0.16458333333333333,0.1295774647887324,0.0970873786407767,0.15023334055237705,0.00020017720449868148,0.26587980584913645,0.2863201056369248
6,0.42547922134399413,0.0009004592895507813,0.3811908736783528,0.40705501828657714,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 30}",52,0.6703296703296703,0.7076064200976971,0.17403314917127072,0.15749128919860628,0.18662952646239556,0.24130737134909597,0.7002801120448179,0.7152777777777778,0.17183098591549295,0.21359223300970873,0.14343366490662113,0.00019981430841284613,0.2490546130586683,0.25000584042285473
7,0.5325301170349122,0.0008023262023925781,0.5742904841402338,0.5920303258023429,0.1,"(50, 50)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 35}",27,0.7335164835164835,0.6950453593859037,0.6408839779005525,0.670383275261324,0.7604456824512534,0.8004172461752433,0.19887955182072828,0.19444444444444445,0.532394366197183,0.5998613037447988,0.08229367114558213,0.00024570990780242485,0.20321683860858494,0.20895561618981076
8,0.4846282958984375,0.0011031150817871094,0.3411240957150807,0.3706235007823294,0.1,"(50, 50)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'km__n_clusters': 40}",58,0.17307692307692307,0.14305652477320308,0.3011049723756906,0.3693379790940767,0.5013927576601671,0.5618915159944368,0.484593837535014,0.5375,0.24788732394366197,0.24133148404993066,0.07308455303412592,0.00020041474268147025,0.13031089969039447,0.163055834830284
9,0.1822984218597412,0.0009049415588378906,0.20645520311630494,0.20370020964844585,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'km__n_clusters': 2}",113,0.23076923076923078,0.23377529658060014,0.18232044198895028,0.18885017421602787,0.21448467966573817,0.2148817802503477,0.20168067226890757,0.19652777777777777,0.2028169014084507,0.18446601941747573,0.05070454539038506,0.00020169668438313704,0.016034704966601126,0.018283652699756386
